PVM: 01.12.2015   PÄÄTÖSKURSSI: 5,12

PVM: 02.12.2015   PÄÄTÖSKURSSI: 5,00

PVM: 03.12.2015   PÄÄTÖSKURSSI: 4,90

PVM: 04.12.2015   PÄÄTÖSKURSSI: 4,86

PVM: 07.12.2015   PÄÄTÖSKURSSI: 4,82

PVM: 08.12.2015   PÄÄTÖSKURSSI: 4,60

PVM: 09.12.2015   PÄÄTÖSKURSSI: 4,70

PVM: 10.12.2015   PÄÄTÖSKURSSI: 4,70

PVM: 11.12.2015   PÄÄTÖSKURSSI: 4,76

PVM: 14.12.2015   PÄÄTÖSKURSSI: 4,59

PVM: 15.12.2015   PÄÄTÖSKURSSI: 4,61

PVM: 16.12.2015   PÄÄTÖSKURSSI: 4,75

PVM: 17.12.2015   PÄÄTÖSKURSSI: 4,85

PVM: 18.12.2015   PÄÄTÖSKURSSI: 4,90

PVM: 21.12.2015   PÄÄTÖSKURSSI: No data avialable

PVM: 22.12.2015   PÄÄTÖSKURSSI: 4,80

PVM: 23.12.2015   PÄÄTÖSKURSSI: 4,85

PVM: 28.12.2015   PÄÄTÖSKURSSI: No data avialable

PVM: 29.12.2015   PÄÄTÖSKURSSI: 4,87

PVM: 30.12.2015   PÄÄTÖSKURSSI: 4,87

PVM: 04.01.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 05.01.2016   PÄÄTÖSKURSSI: 4,77

PVM: 07.01.2016   PÄÄTÖSKURSSI: 4,60

PVM: 08.01.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.01.2016   PÄÄTÖSKURSSI: 4,62

PVM: 12.01.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 13.01.2016   PÄÄTÖSKURSSI: 4,61

PVM: 14.01.2016   PÄÄTÖSKURSSI: 4,54

PVM: 15.01.2016   PÄÄTÖSKURSSI: 4,43

PVM: 18.01.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 19.01.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 20.01.2016   PÄÄTÖSKURSSI: 4,33

PVM: 21.01.2016   PÄÄTÖSKURSSI: 4,33

PVM: 22.01.2016   PÄÄTÖSKURSSI: 4,40

PVM: 25.01.2016   PÄÄTÖSKURSSI: 4,20

PVM: 26.01.2016   PÄÄTÖSKURSSI: 4,05

PVM: 27.01.2016   PÄÄTÖSKURSSI: 3,95

PVM: 28.01.2016   PÄÄTÖSKURSSI: 4,00

PVM: 29.01.2016   PÄÄTÖSKURSSI: 4,20

PVM: 01.02.2016   PÄÄTÖSKURSSI: 4,04

PVM: 02.02.2016   PÄÄTÖSKURSSI: 3,94

PVM: 03.02.2016   PÄÄTÖSKURSSI: No data avialable

