PVM: 03.11.2010   PÄÄTÖSKURSSI: 7,91

PVM: 04.11.2010   PÄÄTÖSKURSSI: 8,36

PVM: 05.11.2010   PÄÄTÖSKURSSI: 9,76

PVM: 08.11.2010   PÄÄTÖSKURSSI: 9,76

PVM: 09.11.2010   PÄÄTÖSKURSSI: 9,02

PVM: 10.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 11.11.2010   PÄÄTÖSKURSSI: 9,20

PVM: 12.11.2010   PÄÄTÖSKURSSI: 9,20

PVM: 15.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 16.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 17.11.2010   PÄÄTÖSKURSSI: 9,20

PVM: 18.11.2010   PÄÄTÖSKURSSI: 9,00

PVM: 19.11.2010   PÄÄTÖSKURSSI: 9,00

PVM: 22.11.2010   PÄÄTÖSKURSSI: 8,90

PVM: 23.11.2010   PÄÄTÖSKURSSI: 8,85

PVM: 24.11.2010   PÄÄTÖSKURSSI: 8,80

PVM: 25.11.2010   PÄÄTÖSKURSSI: 9,50

PVM: 26.11.2010   PÄÄTÖSKURSSI: 9,50

PVM: 29.11.2010   PÄÄTÖSKURSSI: 9,50

PVM: 30.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 01.12.2010   PÄÄTÖSKURSSI: 9,40

PVM: 02.12.2010   PÄÄTÖSKURSSI: 9,38

PVM: 03.12.2010   PÄÄTÖSKURSSI: 9,40

PVM: 07.12.2010   PÄÄTÖSKURSSI: 9,45

PVM: 08.12.2010   PÄÄTÖSKURSSI: 9,45

PVM: 09.12.2010   PÄÄTÖSKURSSI: 9,49

PVM: 10.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 13.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 14.12.2010   PÄÄTÖSKURSSI: 9,50

PVM: 15.12.2010   PÄÄTÖSKURSSI: 9,51

PVM: 16.12.2010   PÄÄTÖSKURSSI: 9,51

PVM: 17.12.2010   PÄÄTÖSKURSSI: 9,51

PVM: 20.12.2010   PÄÄTÖSKURSSI: 9,70

PVM: 21.12.2010   PÄÄTÖSKURSSI: 9,82

PVM: 22.12.2010   PÄÄTÖSKURSSI: 10,28

PVM: 23.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 27.12.2010   PÄÄTÖSKURSSI: 10,87

PVM: 28.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 29.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 30.12.2010   PÄÄTÖSKURSSI: 9,90

PVM: 03.01.2011   PÄÄTÖSKURSSI: 10,30

PVM: 04.01.2011   PÄÄTÖSKURSSI: 10,20

PVM: 05.01.2011   PÄÄTÖSKURSSI: 10,79

PVM: 07.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.01.2011   PÄÄTÖSKURSSI: 10,79

PVM: 11.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.01.2011   PÄÄTÖSKURSSI: 10,24

PVM: 14.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 17.01.2011   PÄÄTÖSKURSSI: 10,27

PVM: 18.01.2011   PÄÄTÖSKURSSI: 10,79

PVM: 19.01.2011   PÄÄTÖSKURSSI: 10,78

PVM: 20.01.2011   PÄÄTÖSKURSSI: 10,77

