PVM: 03.11.2010   PÄÄTÖSKURSSI: 16,24

PVM: 04.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 05.11.2010   PÄÄTÖSKURSSI: 16,65

PVM: 08.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 09.11.2010   PÄÄTÖSKURSSI: 16,70

PVM: 10.11.2010   PÄÄTÖSKURSSI: 16,40

PVM: 11.11.2010   PÄÄTÖSKURSSI: 16,40

PVM: 12.11.2010   PÄÄTÖSKURSSI: 16,41

PVM: 15.11.2010   PÄÄTÖSKURSSI: 16,65

PVM: 16.11.2010   PÄÄTÖSKURSSI: 16,60

PVM: 17.11.2010   PÄÄTÖSKURSSI: 16,59

PVM: 18.11.2010   PÄÄTÖSKURSSI: 16,90

PVM: 19.11.2010   PÄÄTÖSKURSSI: 16,90

PVM: 22.11.2010   PÄÄTÖSKURSSI: 17,00

PVM: 23.11.2010   PÄÄTÖSKURSSI: 17,50

PVM: 24.11.2010   PÄÄTÖSKURSSI: 21,33

PVM: 25.11.2010   PÄÄTÖSKURSSI: 18,70

PVM: 26.11.2010   PÄÄTÖSKURSSI: 18,70

PVM: 29.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 30.11.2010   PÄÄTÖSKURSSI: 16,88

PVM: 01.12.2010   PÄÄTÖSKURSSI: 17,98

PVM: 02.12.2010   PÄÄTÖSKURSSI: 17,32

PVM: 03.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 07.12.2010   PÄÄTÖSKURSSI: 17,50

PVM: 08.12.2010   PÄÄTÖSKURSSI: 17,80

PVM: 09.12.2010   PÄÄTÖSKURSSI: 18,00

PVM: 10.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 13.12.2010   PÄÄTÖSKURSSI: 17,20

PVM: 14.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 15.12.2010   PÄÄTÖSKURSSI: 17,50

PVM: 16.12.2010   PÄÄTÖSKURSSI: 17,40

PVM: 17.12.2010   PÄÄTÖSKURSSI: 17,50

PVM: 20.12.2010   PÄÄTÖSKURSSI: 17,50

PVM: 21.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 22.12.2010   PÄÄTÖSKURSSI: 17,90

PVM: 23.12.2010   PÄÄTÖSKURSSI: 17,98

PVM: 27.12.2010   PÄÄTÖSKURSSI: 19,10

PVM: 28.12.2010   PÄÄTÖSKURSSI: 19,00

PVM: 29.12.2010   PÄÄTÖSKURSSI: 19,00

PVM: 30.12.2010   PÄÄTÖSKURSSI: 19,24

PVM: 03.01.2011   PÄÄTÖSKURSSI: 19,00

PVM: 04.01.2011   PÄÄTÖSKURSSI: 19,25

PVM: 05.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.01.2011   PÄÄTÖSKURSSI: 19,20

PVM: 10.01.2011   PÄÄTÖSKURSSI: 19,49

PVM: 11.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 12.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 14.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 17.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 18.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 19.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.01.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.01.2011   PÄÄTÖSKURSSI: 19,45

PVM: 24.01.2011   PÄÄTÖSKURSSI: 20,00

PVM: 25.01.2011   PÄÄTÖSKURSSI: 19,50

PVM: 26.01.2011   PÄÄTÖSKURSSI: 19,60

PVM: 27.01.2011   PÄÄTÖSKURSSI: 20,40

PVM: 28.01.2011   PÄÄTÖSKURSSI: 20,35

PVM: 31.01.2011   PÄÄTÖSKURSSI: 19,95

PVM: 01.02.2011   PÄÄTÖSKURSSI: 20,40

PVM: 02.02.2011   PÄÄTÖSKURSSI: 20,40

PVM: 03.02.2011   PÄÄTÖSKURSSI: 20,00

PVM: 04.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.02.2011   PÄÄTÖSKURSSI: 20,00

PVM: 08.02.2011   PÄÄTÖSKURSSI: 20,20

PVM: 09.02.2011   PÄÄTÖSKURSSI: 20,44

PVM: 10.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.02.2011   PÄÄTÖSKURSSI: 20,00

PVM: 15.02.2011   PÄÄTÖSKURSSI: 19,50

PVM: 16.02.2011   PÄÄTÖSKURSSI: 19,55

PVM: 17.02.2011   PÄÄTÖSKURSSI: 18,71

PVM: 18.02.2011   PÄÄTÖSKURSSI: 19,50

PVM: 21.02.2011   PÄÄTÖSKURSSI: 20,20

PVM: 22.02.2011   PÄÄTÖSKURSSI: 19,82

PVM: 23.02.2011   PÄÄTÖSKURSSI: 19,50

PVM: 24.02.2011   PÄÄTÖSKURSSI: 19,75

PVM: 25.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.02.2011   PÄÄTÖSKURSSI: 19,75

PVM: 01.03.2011   PÄÄTÖSKURSSI: 20,26

PVM: 02.03.2011   PÄÄTÖSKURSSI: 19,75

PVM: 03.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.03.2011   PÄÄTÖSKURSSI: 19,75

PVM: 07.03.2011   PÄÄTÖSKURSSI: 20,05

PVM: 08.03.2011   PÄÄTÖSKURSSI: 20,05

PVM: 09.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.03.2011   PÄÄTÖSKURSSI: 19,75

PVM: 14.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 15.03.2011   PÄÄTÖSKURSSI: 19,75

PVM: 16.03.2011   PÄÄTÖSKURSSI: 19,50

PVM: 17.03.2011   PÄÄTÖSKURSSI: 19,50

PVM: 18.03.2011   PÄÄTÖSKURSSI: 19,58

PVM: 21.03.2011   PÄÄTÖSKURSSI: 19,16

PVM: 22.03.2011   PÄÄTÖSKURSSI: 19,90

PVM: 23.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 25.03.2011   PÄÄTÖSKURSSI: 19,85

PVM: 28.03.2011   PÄÄTÖSKURSSI: 19,98

PVM: 29.03.2011   PÄÄTÖSKURSSI: 19,90

PVM: 30.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 31.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 01.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 04.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 05.04.2011   PÄÄTÖSKURSSI: 20,20

PVM: 06.04.2011   PÄÄTÖSKURSSI: 20,43

PVM: 07.04.2011   PÄÄTÖSKURSSI: 20,10

PVM: 08.04.2011   PÄÄTÖSKURSSI: 20,50

PVM: 11.04.2011   PÄÄTÖSKURSSI: 20,65

PVM: 12.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 13.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 14.04.2011   PÄÄTÖSKURSSI: 19,95

PVM: 15.04.2011   PÄÄTÖSKURSSI: 20,10

PVM: 18.04.2011   PÄÄTÖSKURSSI: 20,45

PVM: 19.04.2011   PÄÄTÖSKURSSI: 20,41

