PVM: 16.10.2012   PÄÄTÖSKURSSI: 2,49

PVM: 17.10.2012   PÄÄTÖSKURSSI: 2,55

PVM: 18.10.2012   PÄÄTÖSKURSSI: 2,52

PVM: 19.10.2012   PÄÄTÖSKURSSI: 2,53

PVM: 22.10.2012   PÄÄTÖSKURSSI: 2,53

PVM: 23.10.2012   PÄÄTÖSKURSSI: 2,48

PVM: 24.10.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 25.10.2012   PÄÄTÖSKURSSI: 2,48

PVM: 26.10.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 29.10.2012   PÄÄTÖSKURSSI: 2,52

PVM: 30.10.2012   PÄÄTÖSKURSSI: 2,52

PVM: 31.10.2012   PÄÄTÖSKURSSI: 2,52

PVM: 01.11.2012   PÄÄTÖSKURSSI: 2,50

PVM: 02.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 05.11.2012   PÄÄTÖSKURSSI: 2,47

PVM: 06.11.2012   PÄÄTÖSKURSSI: 2,42

PVM: 07.11.2012   PÄÄTÖSKURSSI: 2,42

PVM: 08.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 09.11.2012   PÄÄTÖSKURSSI: 2,41

PVM: 12.11.2012   PÄÄTÖSKURSSI: 2,41

PVM: 13.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 14.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 15.11.2012   PÄÄTÖSKURSSI: 2,40

PVM: 16.11.2012   PÄÄTÖSKURSSI: 2,37

PVM: 19.11.2012   PÄÄTÖSKURSSI: 2,39

PVM: 20.11.2012   PÄÄTÖSKURSSI: 2,42

PVM: 21.11.2012   PÄÄTÖSKURSSI: 2,43

PVM: 22.11.2012   PÄÄTÖSKURSSI: 2,43

PVM: 23.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 26.11.2012   PÄÄTÖSKURSSI: 2,51

PVM: 27.11.2012   PÄÄTÖSKURSSI: 2,47

PVM: 28.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 29.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 30.11.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 03.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 04.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 05.12.2012   PÄÄTÖSKURSSI: 2,47

PVM: 07.12.2012   PÄÄTÖSKURSSI: 2,45

PVM: 10.12.2012   PÄÄTÖSKURSSI: 2,47

PVM: 11.12.2012   PÄÄTÖSKURSSI: 2,47

PVM: 12.12.2012   PÄÄTÖSKURSSI: 2,43

PVM: 13.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 14.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 17.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 18.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 19.12.2012   PÄÄTÖSKURSSI: 2,43

PVM: 20.12.2012   PÄÄTÖSKURSSI: No data avialable

PVM: 21.12.2012   PÄÄTÖSKURSSI: 2,47

PVM: 27.12.2012   PÄÄTÖSKURSSI: 2,47

PVM: 28.12.2012   PÄÄTÖSKURSSI: 2,53

PVM: 02.01.2013   PÄÄTÖSKURSSI: 2,45

PVM: 03.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 04.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 07.01.2013   PÄÄTÖSKURSSI: 2,52

PVM: 08.01.2013   PÄÄTÖSKURSSI: 2,53

PVM: 09.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 10.01.2013   PÄÄTÖSKURSSI: 2,57

PVM: 11.01.2013   PÄÄTÖSKURSSI: 2,73

PVM: 14.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 15.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 16.01.2013   PÄÄTÖSKURSSI: 2,75

PVM: 17.01.2013   PÄÄTÖSKURSSI: 2,82

PVM: 18.01.2013   PÄÄTÖSKURSSI: 2,75

PVM: 21.01.2013   PÄÄTÖSKURSSI: 2,63

PVM: 22.01.2013   PÄÄTÖSKURSSI: 2,63

PVM: 23.01.2013   PÄÄTÖSKURSSI: 2,70

PVM: 24.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 25.01.2013   PÄÄTÖSKURSSI: 2,73

PVM: 28.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 29.01.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 30.01.2013   PÄÄTÖSKURSSI: 2,78

PVM: 31.01.2013   PÄÄTÖSKURSSI: 2,67

PVM: 01.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 04.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 05.02.2013   PÄÄTÖSKURSSI: 2,77

PVM: 06.02.2013   PÄÄTÖSKURSSI: 2,77

PVM: 07.02.2013   PÄÄTÖSKURSSI: 2,75

PVM: 08.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 11.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 12.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 13.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 14.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 15.02.2013   PÄÄTÖSKURSSI: 2,73

PVM: 18.02.2013   PÄÄTÖSKURSSI: 2,73

PVM: 19.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 20.02.2013   PÄÄTÖSKURSSI: 2,73

PVM: 21.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 22.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 25.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 26.02.2013   PÄÄTÖSKURSSI: 2,70

PVM: 27.02.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 28.02.2013   PÄÄTÖSKURSSI: 2,67

PVM: 01.03.2013   PÄÄTÖSKURSSI: 2,67

PVM: 04.03.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 05.03.2013   PÄÄTÖSKURSSI: 2,68

PVM: 06.03.2013   PÄÄTÖSKURSSI: 2,68

PVM: 07.03.2013   PÄÄTÖSKURSSI: 2,67

PVM: 08.03.2013   PÄÄTÖSKURSSI: 2,80

PVM: 11.03.2013   PÄÄTÖSKURSSI: 2,83

PVM: 12.03.2013   PÄÄTÖSKURSSI: 3,01

PVM: 13.03.2013   PÄÄTÖSKURSSI: 2,95

PVM: 14.03.2013   PÄÄTÖSKURSSI: 2,93

PVM: 15.03.2013   PÄÄTÖSKURSSI: 2,89

PVM: 18.03.2013   PÄÄTÖSKURSSI: 2,83

PVM: 19.03.2013   PÄÄTÖSKURSSI: 2,80

PVM: 20.03.2013   PÄÄTÖSKURSSI: 2,77

PVM: 21.03.2013   PÄÄTÖSKURSSI: 2,75

PVM: 22.03.2013   PÄÄTÖSKURSSI: 2,75

PVM: 25.03.2013   PÄÄTÖSKURSSI: 2,77

PVM: 26.03.2013   PÄÄTÖSKURSSI: 2,77

PVM: 27.03.2013   PÄÄTÖSKURSSI: 2,77

PVM: 28.03.2013   PÄÄTÖSKURSSI: 2,78

PVM: 02.04.2013   PÄÄTÖSKURSSI: 2,78

PVM: 03.04.2013   PÄÄTÖSKURSSI: 2,83

PVM: 04.04.2013   PÄÄTÖSKURSSI: 2,81

PVM: 05.04.2013   PÄÄTÖSKURSSI: No data avialable

PVM: 08.04.2013   PÄÄTÖSKURSSI: 2,75

PVM: 09.04.2013   PÄÄTÖSKURSSI: 2,72

