PVM: 03.11.2010   PÄÄTÖSKURSSI: 33,00

PVM: 04.11.2010   PÄÄTÖSKURSSI: 32,90

PVM: 05.11.2010   PÄÄTÖSKURSSI: 32,50

PVM: 08.11.2010   PÄÄTÖSKURSSI: 32,30

PVM: 09.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 10.11.2010   PÄÄTÖSKURSSI: 31,41

PVM: 11.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 12.11.2010   PÄÄTÖSKURSSI: 31,50

PVM: 15.11.2010   PÄÄTÖSKURSSI: 30,64

PVM: 16.11.2010   PÄÄTÖSKURSSI: 31,00

PVM: 17.11.2010   PÄÄTÖSKURSSI: 30,99

PVM: 18.11.2010   PÄÄTÖSKURSSI: 31,99

PVM: 19.11.2010   PÄÄTÖSKURSSI: 31,00

PVM: 22.11.2010   PÄÄTÖSKURSSI: 32,10

PVM: 23.11.2010   PÄÄTÖSKURSSI: 31,00

PVM: 24.11.2010   PÄÄTÖSKURSSI: 31,00

PVM: 25.11.2010   PÄÄTÖSKURSSI: 31,50

PVM: 26.11.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 29.11.2010   PÄÄTÖSKURSSI: 30,95

PVM: 30.11.2010   PÄÄTÖSKURSSI: 31,99

PVM: 01.12.2010   PÄÄTÖSKURSSI: 31,98

PVM: 02.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 03.12.2010   PÄÄTÖSKURSSI: 30,75

PVM: 07.12.2010   PÄÄTÖSKURSSI: 31,00

PVM: 08.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 09.12.2010   PÄÄTÖSKURSSI: 32,44

PVM: 10.12.2010   PÄÄTÖSKURSSI: 31,50

PVM: 13.12.2010   PÄÄTÖSKURSSI: 31,50

PVM: 14.12.2010   PÄÄTÖSKURSSI: 31,80

PVM: 15.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 16.12.2010   PÄÄTÖSKURSSI: 31,60

PVM: 17.12.2010   PÄÄTÖSKURSSI: 32,00

PVM: 20.12.2010   PÄÄTÖSKURSSI: 31,31

PVM: 21.12.2010   PÄÄTÖSKURSSI: 31,96

PVM: 22.12.2010   PÄÄTÖSKURSSI: 32,00

PVM: 23.12.2010   PÄÄTÖSKURSSI: 32,15

PVM: 27.12.2010   PÄÄTÖSKURSSI: 32,15

PVM: 28.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 29.12.2010   PÄÄTÖSKURSSI: No data avialable

PVM: 30.12.2010   PÄÄTÖSKURSSI: 32,15

PVM: 03.01.2011   PÄÄTÖSKURSSI: 32,00

PVM: 04.01.2011   PÄÄTÖSKURSSI: 32,08

PVM: 05.01.2011   PÄÄTÖSKURSSI: 32,08

PVM: 07.01.2011   PÄÄTÖSKURSSI: 32,15

PVM: 10.01.2011   PÄÄTÖSKURSSI: 32,10

PVM: 11.01.2011   PÄÄTÖSKURSSI: 31,62

PVM: 12.01.2011   PÄÄTÖSKURSSI: 32,00

PVM: 13.01.2011   PÄÄTÖSKURSSI: 32,00

PVM: 14.01.2011   PÄÄTÖSKURSSI: 31,90

PVM: 17.01.2011   PÄÄTÖSKURSSI: 31,99

PVM: 18.01.2011   PÄÄTÖSKURSSI: 32,00

PVM: 19.01.2011   PÄÄTÖSKURSSI: 31,60

PVM: 20.01.2011   PÄÄTÖSKURSSI: 31,50

PVM: 21.01.2011   PÄÄTÖSKURSSI: 31,65

PVM: 24.01.2011   PÄÄTÖSKURSSI: 31,65

PVM: 25.01.2011   PÄÄTÖSKURSSI: 31,65

PVM: 26.01.2011   PÄÄTÖSKURSSI: 31,50

PVM: 27.01.2011   PÄÄTÖSKURSSI: 31,50

PVM: 28.01.2011   PÄÄTÖSKURSSI: 31,70

PVM: 31.01.2011   PÄÄTÖSKURSSI: 31,70

PVM: 01.02.2011   PÄÄTÖSKURSSI: 31,70

PVM: 02.02.2011   PÄÄTÖSKURSSI: 31,70

PVM: 03.02.2011   PÄÄTÖSKURSSI: 31,66

PVM: 04.02.2011   PÄÄTÖSKURSSI: 31,69

PVM: 07.02.2011   PÄÄTÖSKURSSI: 31,00

PVM: 08.02.2011   PÄÄTÖSKURSSI: 31,50

PVM: 09.02.2011   PÄÄTÖSKURSSI: 31,50

PVM: 10.02.2011   PÄÄTÖSKURSSI: 31,45

PVM: 11.02.2011   PÄÄTÖSKURSSI: 30,57

PVM: 14.02.2011   PÄÄTÖSKURSSI: 31,55

PVM: 15.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.02.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 17.02.2011   PÄÄTÖSKURSSI: 31,50

PVM: 18.02.2011   PÄÄTÖSKURSSI: 31,53

PVM: 21.02.2011   PÄÄTÖSKURSSI: 30,62

PVM: 22.02.2011   PÄÄTÖSKURSSI: 30,70

PVM: 23.02.2011   PÄÄTÖSKURSSI: 30,80

PVM: 24.02.2011   PÄÄTÖSKURSSI: 31,85

PVM: 25.02.2011   PÄÄTÖSKURSSI: 31,00

PVM: 28.02.2011   PÄÄTÖSKURSSI: 31,00

PVM: 01.03.2011   PÄÄTÖSKURSSI: 31,00

PVM: 02.03.2011   PÄÄTÖSKURSSI: 31,00

PVM: 03.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.03.2011   PÄÄTÖSKURSSI: 31,00

PVM: 09.03.2011   PÄÄTÖSKURSSI: 30,62

PVM: 10.03.2011   PÄÄTÖSKURSSI: 31,00

PVM: 11.03.2011   PÄÄTÖSKURSSI: 31,00

PVM: 14.03.2011   PÄÄTÖSKURSSI: 30,62

PVM: 15.03.2011   PÄÄTÖSKURSSI: 30,80

PVM: 16.03.2011   PÄÄTÖSKURSSI: 30,10

PVM: 17.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.03.2011   PÄÄTÖSKURSSI: 28,55

PVM: 21.03.2011   PÄÄTÖSKURSSI: 29,10

PVM: 22.03.2011   PÄÄTÖSKURSSI: 29,50

PVM: 23.03.2011   PÄÄTÖSKURSSI: 30,00

PVM: 24.03.2011   PÄÄTÖSKURSSI: 29,90

PVM: 25.03.2011   PÄÄTÖSKURSSI: 29,50

PVM: 28.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.03.2011   PÄÄTÖSKURSSI: 30,00

PVM: 30.03.2011   PÄÄTÖSKURSSI: 30,50

PVM: 31.03.2011   PÄÄTÖSKURSSI: 29,80

PVM: 01.04.2011   PÄÄTÖSKURSSI: 30,50

PVM: 04.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.04.2011   PÄÄTÖSKURSSI: 30,50

PVM: 07.04.2011   PÄÄTÖSKURSSI: 29,80

PVM: 08.04.2011   PÄÄTÖSKURSSI: 30,40

PVM: 11.04.2011   PÄÄTÖSKURSSI: 30,00

PVM: 12.04.2011   PÄÄTÖSKURSSI: 30,10

PVM: 13.04.2011   PÄÄTÖSKURSSI: 30,20

PVM: 14.04.2011   PÄÄTÖSKURSSI: 30,00

PVM: 15.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.04.2011   PÄÄTÖSKURSSI: 30,00

PVM: 19.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.04.2011   PÄÄTÖSKURSSI: 29,50

PVM: 21.04.2011   PÄÄTÖSKURSSI: 29,01

PVM: 26.04.2011   PÄÄTÖSKURSSI: 29,04

PVM: 27.04.2011   PÄÄTÖSKURSSI: 29,00

PVM: 28.04.2011   PÄÄTÖSKURSSI: 29,00

PVM: 29.04.2011   PÄÄTÖSKURSSI: 28,00

PVM: 02.05.2011   PÄÄTÖSKURSSI: 28,05

PVM: 03.05.2011   PÄÄTÖSKURSSI: 29,92

PVM: 04.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.05.2011   PÄÄTÖSKURSSI: 29,92

PVM: 06.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.05.2011   PÄÄTÖSKURSSI: 29,00

PVM: 10.05.2011   PÄÄTÖSKURSSI: 28,50

PVM: 11.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.05.2011   PÄÄTÖSKURSSI: 28,80

PVM: 13.05.2011   PÄÄTÖSKURSSI: 29,00

PVM: 16.05.2011   PÄÄTÖSKURSSI: 29,00

PVM: 17.05.2011   PÄÄTÖSKURSSI: 28,25

PVM: 18.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.05.2011   PÄÄTÖSKURSSI: 28,60

PVM: 20.05.2011   PÄÄTÖSKURSSI: 28,00

PVM: 23.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.05.2011   PÄÄTÖSKURSSI: 28,80

PVM: 25.05.2011   PÄÄTÖSKURSSI: 28,80

PVM: 26.05.2011   PÄÄTÖSKURSSI: 28,01

PVM: 27.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.05.2011   PÄÄTÖSKURSSI: 28,00

PVM: 31.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.06.2011   PÄÄTÖSKURSSI: 28,49

PVM: 03.06.2011   PÄÄTÖSKURSSI: 28,48

PVM: 06.06.2011   PÄÄTÖSKURSSI: 28,40

PVM: 07.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.06.2011   PÄÄTÖSKURSSI: 28,50

PVM: 09.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.06.2011   PÄÄTÖSKURSSI: 27,45

PVM: 13.06.2011   PÄÄTÖSKURSSI: 27,45

PVM: 14.06.2011   PÄÄTÖSKURSSI: 27,90

PVM: 15.06.2011   PÄÄTÖSKURSSI: 27,30

PVM: 16.06.2011   PÄÄTÖSKURSSI: 27,90

PVM: 17.06.2011   PÄÄTÖSKURSSI: 27,00

PVM: 20.06.2011   PÄÄTÖSKURSSI: 27,80

PVM: 21.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.06.2011   PÄÄTÖSKURSSI: 27,80

PVM: 23.06.2011   PÄÄTÖSKURSSI: 27,80

PVM: 27.06.2011   PÄÄTÖSKURSSI: 27,90

PVM: 28.06.2011   PÄÄTÖSKURSSI: 27,55

PVM: 29.06.2011   PÄÄTÖSKURSSI: 27,00

PVM: 30.06.2011   PÄÄTÖSKURSSI: 27,00

PVM: 01.07.2011   PÄÄTÖSKURSSI: 27,50

PVM: 04.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.07.2011   PÄÄTÖSKURSSI: 26,51

PVM: 06.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.07.2011   PÄÄTÖSKURSSI: 26,55

PVM: 08.07.2011   PÄÄTÖSKURSSI: 26,15

PVM: 11.07.2011   PÄÄTÖSKURSSI: 26,02

PVM: 12.07.2011   PÄÄTÖSKURSSI: 26,02

PVM: 13.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.07.2011   PÄÄTÖSKURSSI: 26,30

PVM: 18.07.2011   PÄÄTÖSKURSSI: 27,00

PVM: 19.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 25.07.2011   PÄÄTÖSKURSSI: 27,00

PVM: 26.07.2011   PÄÄTÖSKURSSI: 26,80

PVM: 27.07.2011   PÄÄTÖSKURSSI: 26,50

PVM: 28.07.2011   PÄÄTÖSKURSSI: 26,80

PVM: 29.07.2011   PÄÄTÖSKURSSI: 26,80

PVM: 01.08.2011   PÄÄTÖSKURSSI: 26,30

PVM: 02.08.2011   PÄÄTÖSKURSSI: 26,80

PVM: 03.08.2011   PÄÄTÖSKURSSI: 26,80

PVM: 04.08.2011   PÄÄTÖSKURSSI: 27,00

PVM: 05.08.2011   PÄÄTÖSKURSSI: 25,00

PVM: 08.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 09.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 10.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 11.08.2011   PÄÄTÖSKURSSI: 25,50

PVM: 12.08.2011   PÄÄTÖSKURSSI: 25,60

PVM: 15.08.2011   PÄÄTÖSKURSSI: 25,50

PVM: 16.08.2011   PÄÄTÖSKURSSI: 25,50

PVM: 17.08.2011   PÄÄTÖSKURSSI: 25,00

PVM: 18.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.08.2011   PÄÄTÖSKURSSI: 25,00

PVM: 22.08.2011   PÄÄTÖSKURSSI: 25,50

PVM: 23.08.2011   PÄÄTÖSKURSSI: 25,70

PVM: 24.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 25.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 26.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 29.08.2011   PÄÄTÖSKURSSI: 26,00

PVM: 30.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 02.09.2011   PÄÄTÖSKURSSI: 25,44

PVM: 05.09.2011   PÄÄTÖSKURSSI: 25,25

PVM: 06.09.2011   PÄÄTÖSKURSSI: 25,19

PVM: 07.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.09.2011   PÄÄTÖSKURSSI: 25,25

PVM: 09.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.09.2011   PÄÄTÖSKURSSI: 23,10

PVM: 13.09.2011   PÄÄTÖSKURSSI: 23,10

PVM: 14.09.2011   PÄÄTÖSKURSSI: 23,10

PVM: 15.09.2011   PÄÄTÖSKURSSI: 23,49

PVM: 16.09.2011   PÄÄTÖSKURSSI: 23,00

PVM: 19.09.2011   PÄÄTÖSKURSSI: 22,50

PVM: 20.09.2011   PÄÄTÖSKURSSI: 22,00

PVM: 21.09.2011   PÄÄTÖSKURSSI: 23,39

PVM: 22.09.2011   PÄÄTÖSKURSSI: 21,78

PVM: 23.09.2011   PÄÄTÖSKURSSI: 22,00

PVM: 26.09.2011   PÄÄTÖSKURSSI: 22,00

PVM: 27.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.09.2011   PÄÄTÖSKURSSI: 22,00

PVM: 29.09.2011   PÄÄTÖSKURSSI: 22,00

PVM: 30.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.10.2011   PÄÄTÖSKURSSI: 21,10

PVM: 04.10.2011   PÄÄTÖSKURSSI: 21,10

PVM: 05.10.2011   PÄÄTÖSKURSSI: 21,10

PVM: 06.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.10.2011   PÄÄTÖSKURSSI: 22,00

PVM: 11.10.2011   PÄÄTÖSKURSSI: 22,00

PVM: 12.10.2011   PÄÄTÖSKURSSI: 22,50

PVM: 13.10.2011   PÄÄTÖSKURSSI: 23,80

PVM: 14.10.2011   PÄÄTÖSKURSSI: 23,20

PVM: 17.10.2011   PÄÄTÖSKURSSI: 22,20

PVM: 18.10.2011   PÄÄTÖSKURSSI: 21,51

PVM: 19.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.10.2011   PÄÄTÖSKURSSI: 22,00

PVM: 25.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 26.10.2011   PÄÄTÖSKURSSI: 23,20

PVM: 27.10.2011   PÄÄTÖSKURSSI: 23,20

PVM: 28.10.2011   PÄÄTÖSKURSSI: 23,20

PVM: 31.10.2011   PÄÄTÖSKURSSI: 23,40

PVM: 01.11.2011   PÄÄTÖSKURSSI: 23,40

PVM: 02.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.11.2011   PÄÄTÖSKURSSI: 23,00

PVM: 04.11.2011   PÄÄTÖSKURSSI: 22,12

PVM: 07.11.2011   PÄÄTÖSKURSSI: 23,00

PVM: 08.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.11.2011   PÄÄTÖSKURSSI: 22,58

PVM: 14.11.2011   PÄÄTÖSKURSSI: 22,58

PVM: 15.11.2011   PÄÄTÖSKURSSI: 23,00

PVM: 16.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 17.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.11.2011   PÄÄTÖSKURSSI: 23,00

PVM: 21.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.11.2011   PÄÄTÖSKURSSI: 22,75

PVM: 23.11.2011   PÄÄTÖSKURSSI: 21,95

PVM: 24.11.2011   PÄÄTÖSKURSSI: 22,50

PVM: 25.11.2011   PÄÄTÖSKURSSI: 22,30

PVM: 28.11.2011   PÄÄTÖSKURSSI: 22,30

PVM: 29.11.2011   PÄÄTÖSKURSSI: 22,25

PVM: 30.11.2011   PÄÄTÖSKURSSI: 21,99

PVM: 01.12.2011   PÄÄTÖSKURSSI: 21,99

PVM: 02.12.2011   PÄÄTÖSKURSSI: 22,00

PVM: 05.12.2011   PÄÄTÖSKURSSI: 22,30

PVM: 06.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.12.2011   PÄÄTÖSKURSSI: 23,00

PVM: 08.12.2011   PÄÄTÖSKURSSI: 21,75

PVM: 09.12.2011   PÄÄTÖSKURSSI: 23,00

PVM: 12.12.2011   PÄÄTÖSKURSSI: 23,00

PVM: 13.12.2011   PÄÄTÖSKURSSI: 23,01

PVM: 14.12.2011   PÄÄTÖSKURSSI: 23,50

PVM: 15.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.12.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.12.2011   PÄÄTÖSKURSSI: 22,19

PVM: 20.12.2011   PÄÄTÖSKURSSI: 22,23

PVM: 21.12.2011   PÄÄTÖSKURSSI: 22,49

PVM: 22.12.2011   PÄÄTÖSKURSSI: 22,00

PVM: 23.12.2011   PÄÄTÖSKURSSI: 21,15

PVM: 27.12.2011   PÄÄTÖSKURSSI: 22,00

PVM: 28.12.2011   PÄÄTÖSKURSSI: 21,99

PVM: 29.12.2011   PÄÄTÖSKURSSI: 21,99

PVM: 30.12.2011   PÄÄTÖSKURSSI: 22,10

PVM: 02.01.2012   PÄÄTÖSKURSSI: 21,11

PVM: 03.01.2012   PÄÄTÖSKURSSI: 22,50

PVM: 04.01.2012   PÄÄTÖSKURSSI: 22,40

PVM: 05.01.2012   PÄÄTÖSKURSSI: 22,40

PVM: 09.01.2012   PÄÄTÖSKURSSI: 21,90

PVM: 10.01.2012   PÄÄTÖSKURSSI: 22,00

PVM: 11.01.2012   PÄÄTÖSKURSSI: 22,50

PVM: 12.01.2012   PÄÄTÖSKURSSI: 22,50

PVM: 13.01.2012   PÄÄTÖSKURSSI: 21,75

PVM: 16.01.2012   PÄÄTÖSKURSSI: 21,50

